subject,category,ks2sub,U,G,F,E,D,C,B,A,A*
Chemistry,all students,3c,2,3,11,16,12,18,7,4,2
Chemistry,all students,3b,2,7,23,53,75,69,40,22,2
Chemistry,all students,3a,13,6,26,69,169,167,74,20,5
Chemistry,all students,4c,29,19,51,229,690,867,501,173,23
Chemistry,all students,4b,43,42,116,516,2195,4382,3360,1271,207
Chemistry,all students,4a,45,45,92,396,2002,5382,5713,2982,628
Chemistry,all students,5c,93,36,79,373,2251,7863,12463,10008,3534
Chemistry,all students,5b,43,6,27,149,963,4506,10762,15155,11307
Chemistry,all students,5a,6,0,2,2,10,65,326,1008,2077
Drama,all students,W,0,0,2,2,2,2,2,0,0
Drama,all students,1,2,18,10,13,4,4,2,0,0
Drama,all students,2,70,124,265,325,301,148,53,2,2
Drama,all students,3c,45,65,210,259,338,230,73,15,0
Drama,all students,3b,54,135,280,610,923,669,248,51,5
Drama,all students,3a,31,77,210,475,920,844,373,100,10
Drama,all students,4c,45,128,330,900,1797,2216,1147,364,41
Drama,all students,4b,74,113,385,1132,2983,4660,3416,1306,165
Drama,all students,4a,12,46,105,391,1311,2786,2983,1592,332
Drama,all students,5c,7,25,73,306,1132,2780,4116,2857,734
Drama,all students,5b,2,2,22,72,404,1455,2977,3041,1126
Drama,all students,5a,0,0,0,0,5,36,144,258,134
Computer Science,all students,W,0,0,0,0,3,0,0,0,0
Computer Science,all students,1,2,2,0,0,0,0,0,0,0
Computer Science,all students,2,41,25,32,21,31,13,9,2,2
Computer Science,all students,3c,29,35,24,45,27,16,5,0,0
Computer Science,all students,3b,79,75,78,107,113,61,20,8,0
Computer Science,all students,3a,59,86,102,143,164,104,32,8,0
Computer Science,all students,4c,140,190,243,351,521,432,180,48,3
Computer Science,all students,4b,228,281,500,772,1254,1434,769,228,29
Computer Science,all students,4a,83,152,246,444,888,1292,1047,410,76
Computer Science,all students,5c,70,124,214,481,1034,1993,2166,1369,356
Computer Science,all students,5b,31,58,103,211,499,1221,2057,2229,1072
Computer Science,all students,5a,0,2,2,2,12,33,98,156,206
Core Science,all students,W,6,11,19,8,7,8,2,2,0
Core Science,all students,1,62,121,145,61,31,13,3,0,0
Core Science,all students,2,566,1673,2729,2012,981,416,87,15,0
Core Science,all students,3c,252,802,1927,2101,1351,455,74,13,0
Core Science,all students,3b,456,1106,3310,5086,4351,1931,326,30,0
Core Science,all students,3a,275,578,2124,4717,6206,3629,597,2,2
Core Science,all students,4c,462,831,3215,8302,15277,12845,3058,267,3
Core Science,all students,4b,600,827,2907,9417,26947,35611,13578,1814,67
Core Science,all students,4a,208,200,579,2458,10568,23245,15065,3393,173
Core Science,all students,5c,131,125,319,1305,6754,20595,21014,8252,886
Core Science,all students,5b,34,42,82,278,1623,7180,11973,9736,2485
Core Science,all students,5a,2,2,0,2,5,48,183,498,402
D&T: Textiles,all students,W,2,0,3,2,2,0,0,0,0
D&T: Textiles,all students,1,2,10,6,8,5,2,2,0,0
D&T: Textiles,all students,2,30,76,121,183,145,62,21,7,0
D&T: Textiles,all students,3c,20,46,85,120,145,98,22,3,0
D&T: Textiles,all students,3b,27,64,140,288,355,222,110,2,2
D&T: Textiles,all students,3a,2,42,100,194,321,331,172,39,2
D&T: Textiles,all students,4c,27,53,162,346,634,730,515,170,30
D&T: Textiles,all students,4b,40,61,171,418,969,1550,1444,639,156
D&T: Textiles,all students,4a,9,11,43,114,342,766,1120,652,232
D&T: Textiles,all students,5c,4,9,34,74,229,696,1244,1158,586
D&T: Textiles,all students,5b,2,0,2,20,79,320,773,1063,834
D&T: Textiles,all students,5a,0,0,0,0,2,2,17,47,94
D&T: Systems and Control,all students,W,0,0,0,0,0,0,0,0,0
D&T: Systems and Control,all students,1,0,0,0,2,0,0,0,0,0
D&T: Systems and Control,all students,2,2,2,8,8,4,3,4,0,0
D&T: Systems and Control,all students,3c,2,6,3,6,6,2,0,2,0
D&T: Systems and Control,all students,3b,5,3,11,21,25,11,2,2,0
D&T: Systems and Control,all students,3a,2,2,10,20,32,25,8,0,0
D&T: Systems and Control,all students,4c,2,11,25,46,88,68,22,6,2
D&T: Systems and Control,all students,4b,6,20,33,86,140,190,86,23,5
D&T: Systems and Control,all students,4a,2,9,11,42,68,132,97,38,2
D&T: Systems and Control,all students,5c,2,2,16,40,98,164,168,100,31
D&T: Systems and Control,all students,5b,2,2,4,10,41,68,130,133,69
D&T: Systems and Control,all students,5a,0,0,0,2,0,2,6,5,12
D&T: Electronic Products,all students,W,0,0,0,0,0,0,0,0,0
D&T: Electronic Products,all students,1,0,2,2,0,0,0,0,0,0
D&T: Electronic Products,all students,2,7,11,27,19,16,11,2,2,0
D&T: Electronic Products,all students,3c,9,16,19,32,22,12,2,2,0
D&T: Electronic Products,all students,3b,17,23,38,57,60,29,14,3,0
D&T: Electronic Products,all students,3a,20,26,49,64,83,58,21,2,2
D&T: Electronic Products,all students,4c,22,42,66,144,161,137,91,28,4
D&T: Electronic Products,all students,4b,31,43,107,198,336,411,284,82,14
D&T: Electronic Products,all students,4a,12,22,42,76,191,294,284,160,22
D&T: Electronic Products,all students,5c,9,19,36,85,191,327,498,360,92
D&T: Electronic Products,all students,5b,3,7,8,31,78,184,413,509,277
D&T: Electronic Products,all students,5a,0,0,0,0,0,5,11,24,40
English,all students,W,9,12,22,17,14,8,4,0,0
English,all students,1,91,107,201,136,69,24,3,0,0
English,all students,2,962,1297,3205,4619,3094,907,120,21,3
English,all students,3c,548,454,1593,3689,4020,1331,134,13,3
English,all students,3b,868,585,2090,6608,10350,5054,654,49,3
English,all students,3a,485,350,970,4153,10339,7925,1300,116,6
English,all students,4c,782,492,1330,6149,20321,22683,5805,628,48
English,all students,4b,779,443,981,5452,27690,51248,24549,4127,301
English,all students,4a,241,130,226,1292,9195,29335,26854,7877,841
English,all students,5c,182,96,174,779,6339,26812,39978,19936,3523
English,all students,5b,75,28,54,142,1438,9994,28245,27727,9721
English,all students,5a,5,0,0,0,9,79,712,2056,1917
English Literature,all students,W,7,2,6,10,12,7,2,0,0
English Literature,all students,1,65,64,77,58,30,14,6,0,0
English Literature,all students,2,772,1056,1874,2282,1342,460,110,27,3
English Literature,all students,3c,440,602,1380,2148,1794,656,142,23,4
English Literature,all students,3b,787,1066,2281,4615,5212,2599,570,85,8
English Literature,all students,3a,506,692,1605,3617,5964,4260,1282,173,17
English Literature,all students,4c,898,1068,2465,6140,13204,13093,5613,997,95
English Literature,all students,4b,1111,1172,2613,7058,20334,32809,22684,5313,550
English Literature,all students,4a,397,360,722,2101,7828,20690,24570,8957,1256
English Literature,all students,5c,314,271,518,1444,5795,20252,35381,20615,4535
English Literature,all students,5b,106,82,131,359,1696,8392,24640,26679,10614
English Literature,all students,5a,2,2,0,4,10,86,640,1948,1869
D&T: Food,all students,W,0,0,5,2,0,2,0,0,0
D&T: Food,all students,1,4,10,24,9,7,2,2,0,0
D&T: Food,all students,2,53,168,344,421,296,115,2,2,0
D&T: Food,all students,3c,43,78,213,318,301,153,40,3,0
D&T: Food,all students,3b,59,140,359,640,746,426,114,25,3
D&T: Food,all students,3a,37,86,229,468,694,607,229,41,3
D&T: Food,all students,4c,68,146,351,701,1369,1456,689,166,18
D&T: Food,all students,4b,66,144,408,859,1981,2797,1936,739,95
D&T: Food,all students,4a,26,42,82,247,674,1343,1491,824,176
D&T: Food,all students,5c,17,24,76,174,485,1187,1722,1304,477
D&T: Food,all students,5b,3,8,29,40,159,507,969,1266,779
D&T: Food,all students,5a,0,0,0,0,3,6,21,69,119
French,all students,W,0,0,0,0,2,2,0,0,0
French,all students,1,2,3,4,3,7,2,2,2,2
French,all students,2,16,40,73,94,95,75,37,16,8
French,all students,3c,27,46,89,116,141,61,25,20,5
French,all students,3b,36,111,272,411,545,305,77,36,15
French,all students,3a,44,77,292,611,915,515,101,47,17
French,all students,4c,91,219,665,1584,2998,2138,509,181,73
French,all students,4b,174,341,1185,3376,8242,8142,2708,841,297
French,all students,4a,155,132,546,1886,6147,8198,4226,1616,543
French,all students,5c,141,101,424,1616,6236,11679,8716,4950,2116
French,all students,5b,59,35,139,548,2712,7209,8819,8479,6226
French,all students,5a,2,0,2,2,33,132,364,766,1343
Geography,all students,W,2,2,2,2,5,0,0,0,0
Geography,all students,1,16,12,9,8,4,3,2,2,0
Geography,all students,2,232,504,424,282,181,107,39,8,4
Geography,all students,3c,142,394,490,449,230,106,21,2,2
Geography,all students,3b,252,786,1262,1356,985,542,117,30,3
Geography,all students,3a,167,518,1122,1645,1628,1096,241,53,8
Geography,all students,4c,263,771,1985,3570,4751,3991,1381,301,35
Geography,all students,4b,319,798,2368,5614,10221,12019,6482,2264,309
Geography,all students,4a,97,194,709,2139,5495,9409,8276,4212,920
Geography,all students,5c,72,148,430,1507,4417,9844,12814,10539,3659
Geography,all students,5b,19,34,100,436,1408,4282,8925,12712,8727
Geography,all students,5a,0,2,0,2,12,51,222,747,1406
German,all students,W,0,0,0,0,2,2,0,0,0
German,all students,1,0,0,0,0,0,0,0,0,0
German,all students,2,7,10,15,29,22,18,8,2,2
German,all students,3c,3,17,29,36,33,20,12,2,2
German,all students,3b,8,19,85,127,138,63,26,12,6
German,all students,3a,6,27,77,169,286,166,41,10,8
German,all students,4c,18,64,186,426,893,661,162,58,13
German,all students,4b,27,85,260,863,2488,2648,980,257,79
German,all students,4a,20,37,120,481,2099,3034,1626,523,140
German,all students,5c,24,30,121,450,2155,4660,3785,1794,612
German,all students,5b,16,9,24,151,992,3144,4386,3683,2058
German,all students,5a,0,0,2,2,4,53,203,423,567
D&T: Graphic Products,all students,W,0,0,0,2,0,2,0,0,0
D&T: Graphic Products,all students,1,3,2,5,3,2,0,2,2,0
D&T: Graphic Products,all students,2,65,87,147,134,82,42,15,4,0
D&T: Graphic Products,all students,3c,55,73,158,130,93,44,12,6,0
D&T: Graphic Products,all students,3b,98,160,245,361,323,188,62,21,0
D&T: Graphic Products,all students,3a,87,132,192,334,391,255,89,2,2
D&T: Graphic Products,all students,4c,97,189,358,666,909,748,363,104,13
D&T: Graphic Products,all students,4b,180,262,498,979,1535,1934,1140,432,96
D&T: Graphic Products,all students,4a,50,95,152,383,822,1273,1068,566,166
D&T: Graphic Products,all students,5c,39,66,137,336,732,1462,1540,1113,417
D&T: Graphic Products,all students,5b,12,24,58,138,328,753,1180,1204,767
D&T: Graphic Products,all students,5a,0,0,2,2,5,28,42,82,99
Child Development,all students,W,2,0,2,0,0,0,0,0,0
Child Development,all students,1,2,0,2,2,2,0,0,0,0
Child Development,all students,2,55,107,192,179,97,23,10,3,0
Child Development,all students,3c,23,73,147,172,146,76,8,5,0
Child Development,all students,3b,53,121,255,404,430,219,62,2,2
Child Development,all students,3a,32,57,158,299,457,330,112,17,4
Child Development,all students,4c,52,89,223,476,861,797,386,101,11
Child Development,all students,4b,73,84,204,576,1136,1446,982,344,51
Child Development,all students,4a,15,20,55,148,346,645,653,349,77
Child Development,all students,5c,19,13,35,56,242,450,603,418,126
Child Development,all students,5b,4,4,5,22,64,149,295,278,139
Child Development,all students,5a,0,0,0,0,0,0,2,8,2
History,all students,W,2,2,0,3,2,2,2,0,0
History,all students,1,12,12,2,8,5,2,0,0,2
History,all students,2,355,403,317,231,171,70,49,2,2
History,all students,3c,284,406,414,315,208,127,53,2,2
History,all students,3b,612,909,1135,1024,803,487,201,52,3
History,all students,3a,416,784,1204,1392,1391,949,372,105,10
History,all students,4c,797,1465,2399,3367,3978,3491,1847,493,57
History,all students,4b,1011,1781,3661,6236,9335,11109,8102,3111,481
History,all students,4a,317,569,1349,2696,5523,8794,9416,5553,1184
History,all students,5c,250,420,900,2046,4829,10058,14743,12561,4494
History,all students,5b,68,118,277,661,1760,4825,10515,15238,10232
History,all students,5a,2,0,2,7,13,68,296,962,1716
Vocational Health,all students,W,0,0,0,0,0,0,0,0,0
Vocational Health,all students,1,0,0,0,0,0,0,0,0,0
Vocational Health,all students,2,3,2,7,11,10,3,2,0,0
Vocational Health,all students,3c,2,3,3,8,8,5,2,2,0
Vocational Health,all students,3b,2,4,16,17,34,20,13,2,2
Vocational Health,all students,3a,2,2,5,9,26,25,16,2,0
Vocational Health,all students,4c,2,6,5,25,49,63,54,8,2
Vocational Health,all students,4b,2,2,14,33,62,104,118,44,9
Vocational Health,all students,4a,0,2,0,8,16,43,67,43,2
Vocational Health,all students,5c,2,0,2,7,22,30,67,58,12
Vocational Health,all students,5b,0,0,0,0,6,8,23,31,13
Vocational Health,all students,5a,0,0,0,0,0,0,0,2,2
ICT Full,all students,W,2,2,6,0,6,2,0,0,0
ICT Full,all students,1,18,19,18,16,2,10,2,0,0
ICT Full,all students,2,296,310,412,477,371,172,56,14,3
ICT Full,all students,3c,180,261,351,456,469,256,59,2,2
ICT Full,all students,3b,377,515,668,936,1224,854,278,54,4
ICT Full,all students,3a,322,363,573,905,1310,1160,473,94,4
ICT Full,all students,4c,583,732,1116,1706,3048,3520,1717,404,24
ICT Full,all students,4b,860,954,1589,2767,5383,8316,6026,1889,215
ICT Full,all students,4a,425,341,648,1206,2657,5118,5452,2611,382
ICT Full,all students,5c,471,253,513,1068,2407,5740,8232,5818,1407
ICT Full,all students,5b,347,99,201,384,1038,2875,5819,7056,3062
ICT Full,all students,5a,14,2,2,6,14,59,174,404,427
Vocational Leisure & Tourism,all students,W,0,0,0,0,0,0,0,0,0
Vocational Leisure & Tourism,all students,1,0,0,0,0,0,0,0,0,0
Vocational Leisure & Tourism,all students,2,0,2,2,0,2,0,0,0,0
Vocational Leisure & Tourism,all students,3c,0,2,2,4,3,2,2,0,0
Vocational Leisure & Tourism,all students,3b,0,0,4,2,8,0,2,0,0
Vocational Leisure & Tourism,all students,3a,0,2,2,2,4,5,2,2,0
Vocational Leisure & Tourism,all students,4c,0,2,4,9,8,9,4,2,0
Vocational Leisure & Tourism,all students,4b,0,2,2,9,15,15,20,2,2
Vocational Leisure & Tourism,all students,4a,0,0,2,2,7,7,7,8,2
Vocational Leisure & Tourism,all students,5c,0,0,0,2,0,7,12,3,2
Vocational Leisure & Tourism,all students,5b,0,0,0,2,0,2,7,2,0
Vocational Leisure & Tourism,all students,5a,0,0,0,0,0,0,0,0,0
Maths,all students,W,44,17,10,9,7,17,2,0,2
Maths,all students,1,418,138,78,48,47,30,2,0,2
Maths,all students,2,5692,3539,2320,1565,1331,736,110,32,13
Maths,all students,3c,2667,2557,2268,1909,1775,1039,94,18,3
Maths,all students,3b,3463,3941,4747,4829,5860,3814,404,74,10
Maths,all students,3a,1520,1914,3140,4423,7644,6734,759,107,16
Maths,all students,4c,2145,2296,4076,7086,16845,22315,3947,582,68
Maths,all students,4b,1773,1398,2750,6553,25909,56103,18476,3598,520
Maths,all students,4a,390,164,359,1233,8404,33377,23391,7779,1496
Maths,all students,5c,286,63,159,612,4792,26520,35280,22326,8476
Maths,all students,5b,83,7,17,77,955,8148,20016,25335,23254
Maths,all students,5a,2,0,0,0,2,53,301,1069,3372
Media Studies,all students,W,2,0,2,2,2,2,2,0,0
Media Studies,all students,1,2,6,10,11,6,2,2,0,0
Media Studies,all students,2,57,118,208,301,242,122,31,7,0
Media Studies,all students,3c,42,81,199,276,285,174,36,8,0
Media Studies,all students,3b,86,142,323,629,805,539,172,17,0
Media Studies,all students,3a,91,100,253,536,863,776,280,51,3
Media Studies,all students,4c,154,210,409,890,1805,2100,1023,228,25
Media Studies,all students,4b,174,197,479,1137,2594,4206,2960,917,122
Media Studies,all students,4a,75,68,153,356,1032,2316,2474,1223,257
Media Studies,all students,5c,41,62,116,231,728,1948,2893,1926,551
Media Studies,all students,5b,8,10,27,68,232,878,1654,1690,707
Media Studies,all students,5a,0,0,0,0,2,2,38,73,66
Music,all students,W,2,0,2,0,0,0,2,0,0
Music,all students,1,2,3,2,5,0,2,0,0,0
Music,all students,2,47,63,89,107,86,38,10,6,0
Music,all students,3c,49,49,69,102,103,37,15,3,0
Music,all students,3b,46,77,129,250,265,186,65,2,2
Music,all students,3a,39,67,102,238,286,247,121,2,2
Music,all students,4c,78,118,213,465,701,745,429,116,5
Music,all students,4b,112,132,338,801,1407,1882,1526,563,76
Music,all students,4a,36,52,140,376,871,1564,1652,837,124
Music,all students,5c,31,40,104,300,808,1818,2801,2104,477
Music,all students,5b,13,11,36,117,389,1146,2721,3259,1442
Music,all students,5a,2,0,2,2,7,24,149,347,309
Office Technology,all students,W,0,2,0,0,0,0,0,0,0
Office Technology,all students,1,3,2,2,0,2,0,0,0,0
Office Technology,all students,2,35,60,53,51,31,21,2,2,0
Office Technology,all students,3c,34,39,70,49,41,20,2,2,0
Office Technology,all students,3b,55,77,120,141,116,66,2,2,0
Office Technology,all students,3a,25,47,85,161,139,117,38,7,0
Office Technology,all students,4c,59,79,185,280,364,318,155,2,2
Office Technology,all students,4b,44,83,182,365,693,896,587,167,12
Office Technology,all students,4a,15,17,58,126,316,557,527,246,22
Office Technology,all students,5c,11,13,30,82,238,571,754,480,81
Office Technology,all students,5b,3,4,11,19,84,243,485,467,164
Office Technology,all students,5a,0,0,0,0,2,2,14,27,19
Physical Education,all students,W,0,2,3,2,2,2,0,0,0
Physical Education,all students,1,2,7,11,9,2,3,0,0,0
Physical Education,all students,2,56,161,314,391,251,148,53,2,2
Physical Education,all students,3c,33,79,265,455,365,234,64,10,0
Physical Education,all students,3b,63,133,463,1108,1078,708,262,2,2
Physical Education,all students,3a,42,98,369,1051,1368,1137,506,108,5
Physical Education,all students,4c,62,142,592,1972,3324,3462,1729,441,31
Physical Education,all students,4b,70,158,623,2770,6488,8245,5401,2016,192
Physical Education,all students,4a,20,47,207,995,3325,5983,5054,2658,394
Physical Education,all students,5c,15,44,148,756,2879,6402,7011,5148,1136
Physical Education,all students,5b,5,16,41,227,1167,3406,5177,5692,2239
Physical Education,all students,5a,0,0,0,2,2,71,150,357,270
Physics,all students,W,0,0,0,0,0,0,0,0,0
Physics,all students,1,0,0,0,2,0,0,0,2,0
Physics,all students,2,2,2,7,5,15,16,20,12,3
Physics,all students,3c,2,3,8,16,17,13,7,3,2
Physics,all students,3b,2,7,22,50,84,62,40,21,2
Physics,all students,3a,7,5,12,63,186,178,67,17,3
Physics,all students,4c,8,18,50,168,742,926,493,144,20
Physics,all students,4b,15,25,84,404,2289,4568,3302,1240,152
Physics,all students,4a,18,22,51,298,1813,5687,5895,2976,521
Physics,all students,5c,24,18,60,223,1941,7898,12793,10541,3252
Physics,all students,5b,5,14,18,83,741,4224,10733,15960,11386
Physics,all students,5a,2,0,0,2,8,62,305,995,2162
D&T: Resistant Materials,all students,W,2,2,3,3,4,2,0,0,0
D&T: Resistant Materials,all students,1,7,19,36,24,9,7,0,0,0
D&T: Resistant Materials,all students,2,121,210,428,499,372,168,34,2,2
D&T: Resistant Materials,all students,3c,71,154,321,386,384,211,55,2,2
D&T: Resistant Materials,all students,3b,107,240,480,795,850,603,163,17,0
D&T: Resistant Materials,all students,3a,102,168,334,614,884,773,271,41,6
D&T: Resistant Materials,all students,4c,148,285,613,1124,1830,1748,717,168,12
D&T: Resistant Materials,all students,4b,183,284,646,1380,2652,3266,1867,573,61
D&T: Resistant Materials,all students,4a,61,89,240,484,1090,1821,1394,566,117
D&T: Resistant Materials,all students,5c,44,69,143,368,818,1850,1879,1039,276
D&T: Resistant Materials,all students,5b,11,16,44,98,292,785,1251,1055,521
D&T: Resistant Materials,all students,5a,0,0,0,2,2,10,32,82,70
Religious Studies ,all students,W,10,3,11,2,3,7,6,2,0
Religious Studies ,all students,1,51,36,19,20,16,2,8,2,0
Religious Studies ,all students,2,803,809,787,590,492,296,144,47,9
Religious Studies ,all students,3c,480,613,763,741,577,412,153,46,13
Religious Studies ,all students,3b,698,1150,1560,1843,1718,1355,720,166,29
Religious Studies ,all students,3a,445,744,1386,1991,2100,1952,1061,311,46
Religious Studies ,all students,4c,651,1203,2348,3839,5189,5747,3900,1277,249
Religious Studies ,all students,4b,669,1248,2792,5499,9713,13929,12742,5735,1358
Religious Studies ,all students,4a,201,349,838,1965,4777,9255,11686,7221,2284
Religious Studies ,all students,5c,128,214,531,1539,3904,9501,15947,13813,6216
Religious Studies ,all students,5b,35,61,144,400,1357,4457,10806,14429,11220
Religious Studies ,all students,5a,0,0,2,0,2,54,297,823,1462
Spanish,all students,W,2,0,0,0,4,0,0,0,2
Spanish,all students,1,2,2,0,2,2,0,0,2,2
Spanish,all students,2,18,38,47,39,50,42,41,32,24
Spanish,all students,3c,19,33,60,80,77,58,17,17,11
Spanish,all students,3b,42,85,150,201,228,150,62,49,27
Spanish,all students,3a,44,79,157,309,371,265,102,49,27
Spanish,all students,4c,79,171,380,823,1352,994,326,182,108
Spanish,all students,4b,129,243,741,1758,4055,4112,1710,677,375
Spanish,all students,4a,81,99,324,1018,3020,4223,2389,1137,544
Spanish,all students,5c,47,97,292,821,3123,5698,4888,3215,1744
Spanish,all students,5b,22,38,78,306,1314,3469,4650,4702,4346
Spanish,all students,5a,0,0,2,2,19,67,182,342,709
Additional Science,all students,W,3,5,6,2,3,10,3,0,2
Additional Science,all students,1,11,36,22,11,2,6,5,2,0
Additional Science,all students,2,175,555,991,777,452,261,94,12,3
Additional Science,all students,3c,109,371,853,1008,734,303,65,2,2
Additional Science,all students,3b,187,591,1688,2767,2602,1356,320,39,4
Additional Science,all students,3a,146,388,1248,2964,4324,2657,587,66,8
Additional Science,all students,4c,258,585,2080,5987,11712,9972,2862,380,16
Additional Science,all students,4b,335,650,2342,7890,22925,29722,12307,2251,172
Additional Science,all students,4a,139,194,563,2364,10228,20621,13419,3920,368
Additional Science,all students,5c,117,121,325,1385,6946,18747,18766,8639,1535
Additional Science,all students,5b,47,45,60,299,1808,6693,10852,8950,3714
Additional Science,all students,5a,2,0,0,2,5,51,165,426,469
Statistics,all students,W,2,2,2,2,0,0,0,0,0
Statistics,all students,1,9,8,7,3,5,2,2,0,0
Statistics,all students,2,110,193,197,159,75,24,2,2,0
Statistics,all students,3c,75,130,188,198,118,2,2,0,0
Statistics,all students,3b,96,176,320,428,385,174,23,4,0
Statistics,all students,3a,65,69,198,407,583,349,33,2,2
Statistics,all students,4c,103,121,313,722,1491,1348,264,32,4
Statistics,all students,4b,126,84,239,872,2764,4006,1299,274,15
Statistics,all students,4a,75,19,52,260,1256,3130,1905,710,39
Statistics,all students,5c,61,6,24,137,956,3509,3847,2316,364
Statistics,all students,5b,22,3,3,42,277,1519,2896,3536,1203
Statistics,all students,5a,0,0,0,2,2,14,93,294,225
Vocational Business,all students,W,0,0,0,0,0,0,0,0,0
Vocational Business,all students,1,0,0,0,0,0,0,0,0,0
Vocational Business,all students,2,2,2,2,2,5,2,0,0,0
Vocational Business,all students,3c,2,4,2,4,2,2,2,0,0
Vocational Business,all students,3b,2,0,2,12,9,8,5,2,0
Vocational Business,all students,3a,2,4,8,4,9,16,5,2,0
Vocational Business,all students,4c,2,4,7,16,40,43,36,8,2
Vocational Business,all students,4b,4,5,11,14,44,110,122,37,0
Vocational Business,all students,4a,2,2,4,12,32,70,101,74,15
Vocational Business,all students,5c,2,0,8,2,18,64,124,115,33
Vocational Business,all students,5b,0,0,0,5,10,17,69,101,49
Vocational Business,all students,5a,0,0,0,0,0,2,2,2,4
Art,boys,W,2,4,11,4,7,10,2,2,0
Art,boys,1,2,31,57,66,46,44,9,2,0
Art,boys,2,47,213,384,582,675,672,181,35,5
Art,boys,3c,40,103,218,341,499,609,134,22,8
Art,boys,3b,60,173,367,649,965,1294,356,82,17
Art,boys,3a,39,132,290,448,819,1179,366,81,22
Art,boys,4c,66,185,511,849,1589,2721,907,222,64
Art,boys,4b,94,238,565,1087,2311,4649,1879,595,212
Art,boys,4a,32,93,204,414,1082,2416,1436,496,219
Art,boys,5c,24,66,155,394,939,2623,1917,873,397
Art,boys,5b,8,15,40,125,419,1428,1509,997,615
Art,boys,5a,0,2,0,0,2,36,65,82,94
Biology,boys,W,0,2,0,0,0,0,0,0,0
Biology,boys,1,3,0,2,0,2,0,0,2,0
Biology,boys,2,22,4,2,12,13,14,4,7,2
Biology,boys,3c,13,8,14,14,12,7,2,2,2
Biology,boys,3b,21,22,28,34,54,48,25,2,2
Biology,boys,3a,15,2,25,53,114,109,46,13,2
Biology,boys,4c,23,31,45,142,422,567,292,83,10
Biology,boys,4b,25,31,92,293,1307,2419,1835,644,67
Biology,boys,4a,4,10,35,197,1048,2970,3102,1483,226
Biology,boys,5c,14,13,32,164,1206,4479,6979,5074,1370
Biology,boys,5b,2,2,9,54,429,2507,6152,8111,4506
Biology,boys,5a,2,0,0,2,2,32,183,533,895
Business Studies,boys,W,2,0,0,0,0,2,0,0,0
Business Studies,boys,1,2,2,3,2,0,2,0,0,0
Business Studies,boys,2,48,75,64,44,30,16,2,2,0
Business Studies,boys,3c,45,89,90,71,44,21,2,2,0
Business Studies,boys,3b,100,218,262,219,191,102,33,3,0
Business Studies,boys,3a,82,166,258,318,366,202,77,2,2
Business Studies,boys,4c,143,265,526,785,1025,820,334,2,2
Business Studies,boys,4b,140,309,646,1283,2228,2655,1450,348,24
Business Studies,boys,4a,53,83,196,572,1293,2227,1847,605,71
Business Studies,boys,5c,30,59,134,361,1101,2482,3290,1566,245
Business Studies,boys,5b,2,2,41,94,322,1136,2325,2192,558
Business Studies,boys,5a,0,0,0,0,0,8,54,147,71
Chemistry,boys,W,0,0,0,0,0,0,0,0,0
Chemistry,boys,1,0,0,0,0,2,0,0,2,0
Chemistry,boys,2,2,2,2,6,8,9,10,8,2
Chemistry,boys,3c,2,2,6,8,9,8,4,2,2
Chemistry,boys,3b,2,2,10,32,45,49,25,2,2
Chemistry,boys,3a,2,2,15,30,98,97,54,10,2
Chemistry,boys,4c,18,8,30,136,396,509,288,103,11
Chemistry,boys,4b,27,22,69,311,1217,2432,1711,657,103
Chemistry,boys,4a,24,25,46,231,1107,2867,2904,1465,311
Chemistry,boys,5c,49,18,52,220,1314,4367,6562,4951,1692
Chemistry,boys,5b,26,3,19,92,564,2493,5723,7509,5207
Chemistry,boys,5a,2,0,2,2,4,34,171,488,935
Drama,boys,W,0,0,2,2,2,2,0,0,0
Drama,boys,1,2,10,7,10,2,4,2,0,0
Drama,boys,2,39,68,141,180,158,70,26,3,0
Drama,boys,3c,29,37,115,121,172,105,34,7,0
Drama,boys,3b,34,64,146,324,428,290,105,2,2
Drama,boys,3a,20,48,121,237,403,340,137,38,5
Drama,boys,4c,24,72,179,450,851,864,401,111,16
Drama,boys,4b,46,70,214,563,1366,1816,1121,388,46
Drama,boys,4a,8,32,58,205,613,1077,911,426,69
Drama,boys,5c,2,2,39,179,558,1110,1311,767,183
Drama,boys,5b,0,2,2,32,202,629,1083,878,284
Drama,boys,5a,0,0,0,0,2,2,51,66,44
Computer Science,boys,W,0,0,0,0,3,0,0,0,0
Computer Science,boys,1,2,2,0,0,0,0,0,0,0
Computer Science,boys,2,32,2,29,21,26,13,2,2,2
Computer Science,boys,3c,2,2,2,37,2,13,5,0,0
Computer Science,boys,3b,73,2,67,92,99,52,2,8,0
Computer Science,boys,3a,2,79,93,125,145,93,2,8,0
Computer Science,boys,4c,128,181,218,296,455,388,161,2,2
Computer Science,boys,4b,2,253,453,669,1078,1213,648,198,2
Computer Science,boys,4a,77,141,216,399,742,1084,882,357,65
Computer Science,boys,5c,64,112,190,422,887,1726,1830,1139,301
Computer Science,boys,5b,25,46,95,174,435,1014,1675,1725,827
Computer Science,boys,5a,0,2,2,2,2,28,80,117,147
Core Science,boys,W,2,5,11,5,3,3,2,2,0
Core Science,boys,1,33,75,99,44,21,7,0,0,0
Core Science,boys,2,350,953,1631,1237,645,266,44,8,0
Core Science,boys,3c,139,480,1087,1228,796,277,50,5,0
Core Science,boys,3b,286,624,1812,2739,2415,1093,185,17,0
